frametime, crtcoll, drawtime, crtupdate 
2.8569,1.4574,0.7234,0.0439
2.9013,1.7135,0.7237,0.0435
2.6469,1.6622,0.6831,0.0524
2.5313,1.7811,0.6535,0.045
2.2913,1.577,0.6642,0.0313
2.3748,1.6442,0.6361,0.0306
2.3753,1.6574,0.6668,0.033
2.3202,1.6356,0.6373,0.0319
2.3963,1.6348,0.665,0.0322
2.4533,1.7294,0.6345,0.0343
2.3657,1.6667,0.6512,0.0321
2.3549,1.6695,0.6394,0.0319
2.3927,1.6804,0.6522,0.0319
2.3528,1.6701,0.6341,0.0317
2.4006,1.7039,0.6496,0.0312
2.4747,1.7305,0.6414,0.0323
3.0056,1.7828,0.7382,0.0506
2.4591,1.7119,0.678,0.0413
2.4788,1.7484,0.6416,0.0325
2.4744,1.7558,0.6448,0.0349
2.4653,1.767,0.6485,0.0322
2.6916,1.92,0.6463,0.0342
2.5118,1.8003,0.6569,0.0345
2.773,1.8083,0.7109,0.0351
2.6314,1.8383,0.6822,0.0447
2.5938,1.8712,0.6617,0.0336
2.5061,1.8256,0.6339,0.0329
2.555,1.8201,0.6427,0.0332
2.6146,1.9251,0.6364,0.0323
2.6718,1.9267,0.6592,0.0333
2.5731,1.8925,0.6339,0.0328
2.6955,1.9901,0.6603,0.0324
2.5864,1.8963,0.6433,0.0319
2.7584,2.0304,0.6684,0.0324
2.5875,1.8995,0.6396,0.0336
2.6254,1.8988,0.6779,0.0338
2.6314,1.948,0.6346,0.0334
2.6668,1.9329,0.6874,0.0323
2.6205,1.9418,0.6332,0.0315
2.7234,2.0098,0.6673,0.0324
2.8662,2.0293,0.7634,0.0344
2.7404,2.0557,0.6355,0.0351
2.767,2.0379,0.6641,0.0319
2.719,2.0313,0.6408,0.0322
3.3039,2.0215,0.6753,0.0332
2.9983,2.0483,0.6493,0.0385
2.8404,1.9895,0.6606,0.0386
2.8107,2.0427,0.6584,0.035
2.7896,2.0611,0.65,0.034
2.8555,2.1048,0.6805,0.0378
2.9294,2.0449,0.6656,0.0353
2.8398,2.0569,0.6845,0.0381
2.7665,2.0531,0.6443,0.0364
2.8599,2.0682,0.689,0.0323
2.7682,2.0631,0.6418,0.0349
2.7439,2.0296,0.6593,0.0341
2.8321,2.14,0.6378,0.0327
2.757,2.0572,0.6532,0.0323
2.7454,2.068,0.6332,0.0316
2.7654,2.0541,0.662,0.0326
2.7673,2.088,0.6332,0.0321
2.8764,2.1734,0.6578,0.0317
2.7729,2.0898,0.6396,0.0308
2.767,2.0638,0.6512,0.0314
2.869,2.1931,0.6323,0.0317
2.8571,2.1626,0.6503,0.032
2.8971,2.2203,0.6336,0.0314
2.7474,2.0537,0.6418,0.031
2.9326,2.0689,0.6392,0.0316
2.8233,2.1216,0.652,0.0337
2.8469,2.1669,0.6352,0.0318
2.8594,2.1258,0.6608,0.0315
2.739,2.0621,0.632,0.0316
2.808,2.0994,0.6602,0.0308
2.8237,2.1482,0.6323,0.0311
2.8729,2.1874,0.6423,0.0313
2.8258,2.1503,0.6319,0.0314
2.8711,2.1798,0.6474,0.0311
2.8022,2.1203,0.6321,0.0322
2.8645,2.1808,0.6384,0.0318
2.8583,2.184,0.6307,0.0316
2.7926,2.0975,0.6515,0.0315
2.8097,2.1341,0.6315,0.0313
2.8255,2.1299,0.6486,0.0321
2.8016,2.124,0.6313,0.0309
2.9196,2.2201,0.6542,0.0315
2.7412,2.0624,0.6336,0.0311
2.9233,2.216,0.6625,0.0316
2.8754,2.175,0.6315,0.0302
2.9094,2.207,0.6559,0.0321
2.8849,2.1988,0.6375,0.0311
2.7811,2.0963,0.6387,0.0313
2.801,2.1176,0.6379,0.0316
2.8852,2.1872,0.6522,0.0317
2.8355,2.1492,0.6362,0.0314
2.8887,2.1852,0.6583,0.0311
2.84,2.1514,0.6402,0.0316
2.91,2.2011,0.6641,0.0328
